Date,RAY,VIX,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,VXUS,EEM
1990-09-27,-0.4865414615693252,27.308453746356193,,,,,,,,,,
1990-09-28,3.855784022481918,27.746418609953203,,,,,,,,,,
1990-10-01,7.663069591376412,26.690597753613694,,,,,,,,,,
1990-10-02,5.241529615878779,25.91741641001075,,,,,,,,,,
1990-10-03,2.484838510760762,26.547312463146085,,,,,,,,,,
1990-10-04,3.8348881339418037,26.155715628532832,,,,,,,,,,
1990-10-05,3.012906147726198,26.49907995570165,,,,,,,,,,
1990-10-08,4.428103918359479,26.687104580138413,,,,,,,,,,
1990-10-09,-0.43934613831594804,29.35412543586656,,,,,,,,,,
1990-10-10,-0.5903999247134755,29.805522576091477,,,,,,,,,,
1990-10-11,-1.3226186771440163,32.57604502487611,,,,,,,,,,
1990-10-12,3.0310874125420657,30.495527490835865,,,,,,,,,,
